season,episode,title,viewership,show
2,4,The Phone Message,13.6,seinfeld
2,5,The Apartment,24.7,seinfeld
2,6,The Statue,23.3,seinfeld
2,7,The Revenge,19.6,seinfeld
2,8,The Heart Attack,20.6,seinfeld
2,9,The Deal,22.9,seinfeld
2,10,The Baby Shower,17.2,seinfeld
2,11,The Chinese Restaurant,16.8,seinfeld
2,12,The Busboy,12.5,seinfeld
3,1,The Note,21.7,seinfeld
3,2,The Truth,16.7,seinfeld
3,3,The Pen,15.1,seinfeld
3,4,The Dog,17.2,seinfeld
3,5,The Library,16.4,seinfeld
3,6,The Parking Garage,17.0,seinfeld
3,7,The Cafe,16.4,seinfeld
3,8,The Tape,15.8,seinfeld
3,9,The Nose Job,16.3,seinfeld
3,10,The Stranded,18.6,seinfeld
3,11,The Alternate Side,18.0,seinfeld
3,12,The Red Dot,17.9,seinfeld
3,13,The Subway,18.7,seinfeld
3,14,The Pez Dispenser,19.2,seinfeld
3,15,The Suicide,16.9,seinfeld
3,16,The Fix Up,18.5,seinfeld
3,17,The Boyfriend,17.0,seinfeld
3,18,The Boyfriend,17.0,seinfeld
3,19,The Limo,19.5,seinfeld
3,20,The Good Samaritan,16.1,seinfeld
3,21,The Letter,22.3,seinfeld
3,22,The Parking Space,17.8,seinfeld
3,23,The Keys,16.4,seinfeld
4,1,The Trip: Part 1,16.3,seinfeld
4,2,The Trip: Part 2,15.1,seinfeld
4,3,The Pitch,17.6,seinfeld
4,4,The Ticket,17.6,seinfeld
4,5,The Wallet,17.6,seinfeld
4,6,The Watch,15.2,seinfeld
4,7,The Bubble Boy,17.1,seinfeld
4,8,The Cheever Letters,15.1,seinfeld
4,9,The Opera,16.7,seinfeld
4,10,The Virgin,16.2,seinfeld
4,11,The Contest,18.5,seinfeld
4,12,The Airport,14.5,seinfeld
4,13,The Pick,16.2,seinfeld
4,14,The Movie,17.6,seinfeld
4,15,The Visa,11.5,seinfeld
4,16,The Shoes,26.9,seinfeld
4,17,The Outing,28.0,seinfeld
4,18,The Old Man,22.7,seinfeld
4,19,The Implant,27.4,seinfeld
4,20,The Junior Mint,26.4,seinfeld
4,21,The Smelly Car,25.0,seinfeld
4,22,The Handicap Spot,27.6,seinfeld
4,23,The Pilot,32.8,seinfeld
4,24,The Pilot,32.8,seinfeld
5,1,The Mango,28.2,seinfeld
5,2,The Puffy Shirt,29.5,seinfeld
5,3,The Glasses,28.7,seinfeld
5,4,The Sniffing Accountant,28.4,seinfeld
5,5,The Bris,28.7,seinfeld
5,6,The Lip Reader,31.0,seinfeld
5,7,The Non-Fat Yogurt,31.1,seinfeld
5,8,The Barber,29.7,seinfeld
5,9,The Masseuse,27.7,seinfeld
5,10,The Cigar Store Indian,29.6,seinfeld
5,11,The Conversion,28.3,seinfeld
5,12,The Stall,35.0,seinfeld
5,13,The Dinner Party,33.0,seinfeld
5,14,The Marine Biologist,35.0,seinfeld
5,15,The Pie,,seinfeld
5,16,The Stand-In,25.4,seinfeld
5,17,The Wife,30.7,seinfeld
5,18,The Raincoats,29.6,seinfeld
5,19,The Raincoats,29.6,seinfeld
5,20,The Fire,27.6,seinfeld
5,21,The Hamptons,24.5,seinfeld
5,22,The Opposite,30.1,seinfeld
6,1,The Chaperone,32.8,seinfeld
6,2,The Big Salad,32.4,seinfeld
6,3,The Pledge Drive,29.8,seinfeld
6,4,The Chinese Woman,29.2,seinfeld
6,5,The Couch,28.0,seinfeld
6,6,The Gymnast,30.6,seinfeld
6,7,The Soup,29.6,seinfeld
6,8,The Mom and Pop Store,32.4,seinfeld
6,9,The Secretary,29.7,seinfeld
6,10,The Race,26.8,seinfeld
6,11,The Switch,36.6,seinfeld
6,12,The Label Maker,36.2,seinfeld
6,13,The Scofflaw,33.4,seinfeld
6,14,Highlights of a Hundred,34.0,seinfeld
6,15,Highlights of a Hundred,34.0,seinfeld
6,16,The Beard,32.9,seinfeld
6,17,The Kiss Hello,33.4,seinfeld
6,18,The Doorman,33.4,seinfeld
6,19,The Jimmy,31.1,seinfeld
6,20,The Doodle,30.7,seinfeld
6,21,The Fusilli Jerry,28.2,seinfeld
6,22,The Diplomat's Club,28.9,seinfeld
6,23,The Face Painter,26.5,seinfeld
6,24,The Understudy,29.8,seinfeld
7,1,The Engagement,37.6,seinfeld
7,2,The Postponement,34.5,seinfeld
7,3,The Maestro,34.6,seinfeld
7,4,The Wink,32.3,seinfeld
7,5,The Hot Tub,32.6,seinfeld
7,6,The Soup Nazi,33.1,seinfeld
7,7,The Secret Code,33.9,seinfeld
7,8,The Pool Guy,33.4,seinfeld
7,9,The Sponge,32.3,seinfeld
7,10,The Gum,31.4,seinfeld
7,11,The Rye,35.1,seinfeld
7,12,The Caddy,32.0,seinfeld
7,13,The Seven,37.1,seinfeld
7,14,The Cadillac,35.9,seinfeld
7,15,The Cadillac,35.9,seinfeld
7,16,The Shower Head,32.3,seinfeld
7,17,The Doll,32.9,seinfeld
7,18,The Friars Club,32.7,seinfeld
7,19,The Wig Master,30.5,seinfeld
7,20,The Calzone,28.5,seinfeld
7,21,The Bottle Deposit,32.4,seinfeld
7,22,The Bottle Deposit,32.4,seinfeld
7,23,The Wait Out,29.9,seinfeld
7,24,The Invitations,33.2,seinfeld
8,1,The Foundation,33.7,seinfeld
8,2,The Soul Mate,33.2,seinfeld
8,3,The Bizarro Jerry,31.6,seinfeld
8,4,The Little Kicks,32.2,seinfeld
8,5,The Package,30.1,seinfeld
8,6,The Fatigues,30.3,seinfeld
8,7,The Checks,32.0,seinfeld
8,8,The Chicken Roaster,34.1,seinfeld
8,9,The Abstinence,34.4,seinfeld
8,10,The Andrea Doria,29.6,seinfeld
8,11,The Little Jerry,34.5,seinfeld
8,12,The Money,37.3,seinfeld
8,13,The Comeback,33.5,seinfeld
8,14,The Van Buren Boys,33.8,seinfeld
8,15,The Susie,32.0,seinfeld
8,16,The Pothole,33.8,seinfeld
8,17,The English Patient,31.3,seinfeld
8,18,The Nap,32.2,seinfeld
8,19,The Yada Yada,31.6,seinfeld
8,20,The Millennium,29.3,seinfeld
8,21,The Muffin Tops,31.1,seinfeld
8,22,The Summer of George,29.8,seinfeld
9,1,The Butter Shave,37.8,seinfeld
9,2,The Voice,30.9,seinfeld
9,3,The Serenity Now,30.2,seinfeld
9,4,The Blood,31.4,seinfeld
9,5,The Junk Mail,30.2,seinfeld
9,6,The Merv Griffin Show,31.6,seinfeld
9,7,The Slicer,32.8,seinfeld
9,8,The Betrayal,34.0,seinfeld
9,9,The Apology,30.5,seinfeld
9,10,The Strike,30.8,seinfeld
9,11,The Dealership,32.9,seinfeld
9,12,The Reverse Peephole,33.5,seinfeld
9,13,The Cartoon,33.2,seinfeld
9,14,The Strongbox,31.6,seinfeld
9,15,The Wizard,30.5,seinfeld
9,16,The Burning,30.9,seinfeld
9,17,The Bookstore,29.6,seinfeld
9,18,The Frogger,30.7,seinfeld
9,19,The Maid,33.3,seinfeld
9,20,The Puerto Rican Day,38.8,seinfeld
9,21,The Chronicle,58.5,seinfeld
9,22,The Chronicle,58.5,seinfeld
9,23,The Finale,76.3,seinfeld
9,24,The Finale,76.3,seinfeld
1,1,"""Pilot""",9.52,tbbt
1,2,"""The Big Bran Hypothesis""",8.58,tbbt
1,3,"""The Fuzzy Boots Corollary""",8.36,tbbt
1,4,"""The Luminous Fish Effect""",8.15,tbbt
1,5,"""The Hamburger Postulate""",8.81,tbbt
1,6,"""The Middle-earth Paradigm""",8.92,tbbt
1,7,"""The Dumpling Paradox""",9.68,tbbt
1,8,"""The Grasshopper Experiment""",9.32,tbbt
1,9,"""The Cooper-Hofstadter Polarization""",9.11,tbbt
1,10,"""The Loobenfeld Decay""",8.63,tbbt
1,11,"""The Pancake Batter Anomaly""",8.68,tbbt
1,12,"""The Jerusalem Duality""",7.69,tbbt
1,13,"""The Bat Jar Conjecture""",7.51,tbbt
1,14,"""The Nerdvana Annihilation""",8.07,tbbt
1,15,"""The Shiksa Indeterminacy""[28]""The Pork Chop Indeterminacy""[29]",7.38,tbbt
1,16,"""The Peanut Reaction""",7.79,tbbt
1,17,"""The Tangerine Factor""",7.34,tbbt
2,1,"""The Bad Fish Paradigm""",9.36,tbbt
2,2,"""The Codpiece Topology""",8.76,tbbt
2,3,"""The Barbarian Sublimation""",9.33,tbbt
2,4,"""The Griffin Equivalency""",9.36,tbbt
2,5,"""The Euclid Alternative""",9.28,tbbt
2,6,"""The Cooper–Nowitzki Theorem""",9.67,tbbt
2,7,"""The Panty Piñata Polarization""",10.0,tbbt
2,8,"""The Lizard–Spock Expansion""",9.76,tbbt
2,9,"""The White Asparagus Triangulation""",10.1,tbbt
2,10,"""The Vartabedian Conundrum""",10.8,tbbt
2,11,"""The Bath Item Gift Hypothesis""",11.4,tbbt
2,12,"""The Killer Robot Instability""",11.8,tbbt
2,13,"""The Friendship Algorithm""",11.1,tbbt
2,14,"""The Financial Permeability""",10.8,tbbt
2,15,"""The Maternal Capacitance""",13.1,tbbt
2,16,"""The Cushion Saturation""",10.9,tbbt
2,17,"""The Terminator Decoupling""",9.46,tbbt
2,18,"""The Work Song Nanocluster""",9.76,tbbt
2,19,"""The Dead Hooker Juxtaposition""",9.77,tbbt
2,20,"""The Hofstadter Isotope""",10.1,tbbt
2,21,"""The Vegas Renormalization""",9.31,tbbt
2,22,"""The Classified Materials Turbulence""",9.25,tbbt
2,23,"""The Monopolar Expedition""",9.81,tbbt
3,1,"""The Electric Can Opener Fluctuation""",12.9,tbbt
3,2,"""The Jiminy Conjecture""",13.2,tbbt
3,3,"""The Gothowitz Deviation""",12.5,tbbt
3,4,"""The Pirate Solution""",13.0,tbbt
3,5,"""The Creepy Candy Coating Corollary""",13.4,tbbt
3,6,"""The Cornhusker Vortex""",12.7,tbbt
3,7,"""The Guitarist Amplification""",12.7,tbbt
3,8,"""The Adhesive Duck Deficiency""",13.2,tbbt
3,9,"""The Vengeance Formulation""",14.1,tbbt
3,10,"""The Gorilla Experiment""",14.3,tbbt
3,11,"""The Maternal Congruence""",15.5,tbbt
3,12,"""The Psychic Vortex""",15.8,tbbt
3,13,"""The Bozeman Reaction""",14.9,tbbt
3,14,"""The Einstein Approximation""",15.5,tbbt
3,15,"""The Large Hadron Collision""",16.2,tbbt
3,16,"""The Excelsior Acquisition""",15.7,tbbt
3,17,"""The Precious Fragmentation""",16.3,tbbt
3,18,"""The Pants Alternative""",13.4,tbbt
3,19,"""The Wheaton Recurrence""",13.3,tbbt
3,20,"""The Spaghetti Catalyst""",11.6,tbbt
3,21,"""The Plimpton Stimulation""",13.7,tbbt
3,22,"""The Staircase Implementation""",15.0,tbbt
3,23,"""The Lunar Excitation""",14.7,tbbt
4,1,"""The Robotic Manipulation""",14.0,tbbt
4,2,"""The Cruciferous Vegetable Amplification""",13.0,tbbt
4,3,"""The Zazzy Substitution""",12.5,tbbt
4,4,"""The Hot Troll Deviation""",12.5,tbbt
4,5,"""The Desperation Emanation""",13.0,tbbt
4,6,"""The Irish Pub Formulation""",13.0,tbbt
4,7,"""The Apology Insufficiency""",14.0,tbbt
4,8,"""The 21-Second Excitation""",13.1,tbbt
4,9,"""The Boyfriend Complexity""",13.0,tbbt
4,10,"""The Alien Parasite Hypothesis""",12.0,tbbt
4,11,"""The Justice League Recombination""",13.2,tbbt
4,12,"""The Bus Pants Utilization""",13.9,tbbt
4,13,"""The Love Car Displacement""",13.6,tbbt
4,14,"""The Thespian Catalyst""",13.8,tbbt
4,15,"""The Benefactor Factor""",12.7,tbbt
4,16,"""The Cohabitation Formulation""",12.4,tbbt
4,17,"""The Toast Derivation""",12.3,tbbt
4,18,"""The Prestidigitation Approximation""",12.0,tbbt
4,19,"""The Zarnecki Incursion""",11.9,tbbt
4,20,"""The Herb Garden Germination""",11.4,tbbt
4,21,"""The Agreement Dissection""",10.7,tbbt
4,22,"""The Wildebeest Implementation""",10.5,tbbt
4,23,"""The Engagement Reaction""",10.7,tbbt
4,24,"""The Roommate Transmogrification""",11.3,tbbt
5,1,"""The Skank Reflex Analysis""",14.3,tbbt
5,2,"""The Infestation Hypothesis""",14.9,tbbt
5,3,"""The Pulled Groin Extrapolation""",14.7,tbbt
5,4,"""The Wiggly Finger Catalyst""",13.9,tbbt
5,5,"""The Russian Rocket Reaction""",13.5,tbbt
5,6,"""The Rhinitis Revelation""",14.9,tbbt
5,7,"""The Good Guy Fluctuation""",14.5,tbbt
5,8,"""The Isolation Permutation""",15.9,tbbt
5,9,"""The Ornithophobia Diffusion""",15.8,tbbt
5,10,"""The Flaming Spittoon Acquisition""",15.0,tbbt
5,11,"""The Speckerman Recurrence""",14.0,tbbt
5,12,"""The Shiny Trinket Maneuver""",16.1,tbbt
5,13,"""The Recombination Hypothesis""",15.8,tbbt
5,14,"""The Beta Test Initiation""",16.1,tbbt
5,15,"""The Friendship Contraction""",16.5,tbbt
5,16,"""The Vacation Solution""",16.2,tbbt
5,17,"""The Rothman Disintegration""",15.6,tbbt
5,18,"""The Werewolf Transformation""",16.2,tbbt
5,19,"""The Weekend Vortex""",15.0,tbbt
5,20,"""The Transporter Malfunction""",13.9,tbbt
5,21,"""The Hawking Excitation""",13.2,tbbt
5,22,"""The Stag Convergence""",12.6,tbbt
5,23,"""The Launch Acceleration""",13.9,tbbt
5,24,"""The Countdown Reflection""",13.7,tbbt
6,1,"""The Date Night Variable""",15.6,tbbt
6,2,"""The Decoupling Fluctuation""",15.1,tbbt
6,3,"""The Higgs Boson Observation""",14.2,tbbt
6,4,"""The Re-Entry Minimization""",15.7,tbbt
6,5,"""The Holographic Excitation""",15.8,tbbt
6,6,"""The Extract Obliteration""",15.9,tbbt
6,7,"""The Habitation Configuration""",16.6,tbbt
6,8,"""The 43 Peculiarity""",17.6,tbbt
6,9,"""The Parking Spot Escalation""",17.2,tbbt
6,10,"""The Fish Guts Displacement""",16.9,tbbt
6,11,"""The Santa Simulation""",16.7,tbbt
6,12,"""The Egg Salad Equivalency""",19.2,tbbt
6,13,"""The Bakersfield Expedition""",20.0,tbbt
6,14,"""The Cooper/Kripke Inversion""",17.7,tbbt
6,15,"""The Spoiler Alert Segmentation""",18.9,tbbt
6,16,"""The Tangible Affection Proof""",17.8,tbbt
6,17,"""The Monster Isolation""",17.6,tbbt
6,18,"""The Contractual Obligation Implementation""",17.6,tbbt
6,19,"""The Closet Reconfiguration""",15.9,tbbt
6,20,"""The Tenure Turbulence""",17.2,tbbt
6,21,"""The Closure Alternative""",15.0,tbbt
6,22,"""The Proton Resurgence""",16.2,tbbt
6,23,"""The Love Spell Potential""",16.3,tbbt
6,24,"""The Bon Voyage Reaction""",15.4,tbbt
7,1,"""The Hofstadter Insufficiency""",18.9,tbbt
7,2,"""The Deception Verification""",20.4,tbbt
7,3,"""The Scavenger Vortex""",18.2,tbbt
7,4,"""The Raiders Minimization""",17.6,tbbt
7,5,"""The Workplace Proximity""",17.8,tbbt
7,6,"""The Romance Resonance""",16.9,tbbt
7,7,"""The Proton Displacement""",16.8,tbbt
7,8,"""The Itchy Brain Simulation""",18.3,tbbt
7,9,"""The Thanksgiving Decoupling""",18.9,tbbt
7,10,"""The Discovery Dissipation""",15.6,tbbt
7,11,"""The Cooper Extraction""",17.6,tbbt
7,12,"""The Hesitation Ramification""",19.2,tbbt
7,13,"""The Occupation Recalibration""",20.3,tbbt
7,14,"""The Convention Conundrum""",19.0,tbbt
7,15,"""The Locomotive Manipulation""",17.5,tbbt
7,16,"""The Table Polarization""",17.7,tbbt
7,17,"""The Friendship Turbulence""",18.0,tbbt
7,18,"""The Mommy Observation""",17.3,tbbt
7,19,"""The Indecision Amalgamation""",17.7,tbbt
7,20,"""The Relationship Diremption""",16.4,tbbt
7,21,"""The Anything Can Happen Recurrence""",16.4,tbbt
7,22,"""The Proton Transmogrification""",16.0,tbbt
7,23,"""The Gorilla Dissolution""",14.4,tbbt
7,24,"""The Status Quo Combustion""",16.7,tbbt
8,1,"""The Locomotion Interruption""",18.0,tbbt
8,2,"""The Junior Professor Solution""",18.3,tbbt
8,3,"""The First Pitch Insufficiency""",18.4,tbbt
8,4,"""The Hook-Up Reverberation""",17.9,tbbt
8,5,"""The Focus Attenuation""",17.6,tbbt
8,6,"""The Expedition Approximation""",18.0,tbbt
8,7,"""The Misinterpretation Agitation""",18.2,tbbt
8,8,"""The Prom Equivalency""",18.5,tbbt
8,9,"""The Septum Deviation""",16.9,tbbt
8,10,"""The Champagne Reflection""",16.6,tbbt
8,11,"""The Clean Room Infiltration""",18.4,tbbt
8,12,"""The Space Probe Disintegration""",18.1,tbbt
8,13,"""The Anxiety Optimization""",17.2,tbbt
8,14,"""The Troll Manifestation""",17.0,tbbt
8,15,"""The Comic Book Store Regeneration""",17.4,tbbt
8,16,"""The Intimacy Acceleration""",16.6,tbbt
8,17,"""The Colonization Application""",18.1,tbbt
8,18,"""The Leftover Thermalization""",18.1,tbbt
8,19,"""The Skywalker Incursion""",16.8,tbbt
8,20,"""The Fortification Implementation""",16.7,tbbt
8,21,"""The Communication Deterioration""",16.0,tbbt
8,22,"""The Graduation Transmission""",16.6,tbbt
8,23,"""The Maternal Combustion""",15.8,tbbt
8,24,"""The Commitment Determination""",17.6,tbbt
9,1,"""The Matrimonial Momentum""",18.2,tbbt
9,2,"""The Separation Oscillation""",17.2,tbbt
9,3,"""The Bachelor Party Corrosion""",17.4,tbbt
9,4,"""The 2003 Approximation""",16.9,tbbt
9,5,"""The Perspiration Implementation""",17.6,tbbt
9,6,"""The Helium Insufficiency""",18.3,tbbt
9,7,"""The Spock Resonance""",18.8,tbbt
9,8,"""The Mystery Date Observation""",17.9,tbbt
9,9,"""The Platonic Permutation""",18.1,tbbt
9,10,"""The Earworm Reverberation""",19.2,tbbt
9,11,"""The Opening Night Excitation""",18.2,tbbt
9,12,"""The Sales Call Sublimation""",17.8,tbbt
9,13,"""The Empathy Optimization""",16.7,tbbt
9,14,"""The Meemaw Materialization""",17.2,tbbt
9,15,"""The Valentino Submergence""",18.2,tbbt
9,16,"""The Positive Negative Reaction""",19.0,tbbt
9,17,"""The Celebration Experimentation""",18.9,tbbt
9,18,"""The Application Deterioration""",18.6,tbbt
9,19,"""The Solder Excursion Diversion""",17.2,tbbt
9,20,"""The Big Bear Precipitation""",17.5,tbbt
9,21,"""The Viewing Party Combustion""",17.1,tbbt
9,22,"""The Fermentation Bifurcation""",16.1,tbbt
9,23,"""The Line Substitution Solution""",15.2,tbbt
9,24,"""The Convergence Convergence""",16.7,tbbt
10,1,"""The Conjugal Conjecture""",18.8,tbbt
10,2,"""The Military Miniaturization""",17.2,tbbt
10,3,"""The Dependence Transcendence""",17.3,tbbt
10,4,"""The Cohabitation Experimentation""",16.4,tbbt
10,5,"""The Hot Tub Contamination""",18.2,tbbt
10,6,"""The Fetal Kick Catalyst""",17.3,tbbt
10,7,"""The Veracity Elasticity""",18.1,tbbt
10,8,"""The Brain Bowl Incubation""",17.4,tbbt
10,9,"""The Geology Elevation""",16.3,tbbt
10,10,"""The Property Division Collision""",16.5,tbbt
10,11,"""The Birthday Synchronicity""",16.9,tbbt
10,12,"""The Holiday Summation""",17.0,tbbt
10,13,"""The Romance Recalibration""",17.1,tbbt
10,14,"""The Emotion Detection Automation""",16.6,tbbt
10,15,"""The Locomotion Reverberation""",16.1,tbbt
10,16,"""The Allowance Evaporation""",15.5,tbbt
10,17,"""The Comic-Con Conundrum""",16.3,tbbt
10,18,"""The Escape Hatch Identification""",17.0,tbbt
10,19,"""The Collaboration Fluctuation""",15.7,tbbt
10,20,"""The Recollection Dissipation""",15.5,tbbt
10,21,"""The Separation Agitation""",16.0,tbbt
10,22,"""The Cognition Regeneration""",14.5,tbbt
10,23,"""The Gyroscopic Collapse""",15.3,tbbt
10,24,"""The Long Distance Dissonance""",15.9,tbbt
11,1,"""The Proposal Proposal""",17.6,tbbt
11,2,"""The Retraction Reaction""",14.0,tbbt
11,3,"""The Relaxation Integration""",13.1,tbbt
11,4,"""The Explosion Implosion""",13.0,tbbt
11,5,"""The Collaboration Contamination""",13.2,tbbt
11,6,"""The Proton Regeneration""",14.1,tbbt
11,7,"""The Geology Methodology""",13.8,tbbt
11,8,"""The Tesla Recoil""",13.4,tbbt
11,9,"""The Bitcoin Entanglement""",13.8,tbbt
11,10,"""The Confidence Erosion""",14.4,tbbt
